pyANI_species_ID,Genome_Count,Unique_names_Count,unique_ST_count
133,28,5,15
102,1,1,1
15,2,1,1
1,8,2,4
16,2,1,1
61,5,1,4
12,21,4,10
124,2,2,2
52,28,5,24
174,1,1,1
105,3,2,3
17,2,1,1
5,7,4,7
79,57,5,44
162,3,1,1
163,1,1,1
9,2,1,1
175,1,1,1
128,2,2,2
39,7,2,5
65,4,2,4
145,1,1,1
64,1,1,1
176,1,1,1
113,6,3,6
177,1,1,1
129,2,2,2
178,1,1,1
107,2,1,1
143,4,3,3
63,4,2,4
112,8,4,6
179,1,1,1
74,10,1,3
77,4,2,4
94,2,1,1
19,2,1,1
108,3,2,3
130,2,1,2
78,10,2,4
68,1,1,1
20,7,2,1
22,3,2,1
23,27,1,1
21,18,5,9
24,2,2,1
131,2,2,2
132,2,2,2
81,4,1,4
180,1,1,1
181,1,1,1
31,2,2,1
110,3,2,3
134,2,1,2
182,1,1,1
111,5,2,3
32,2,2,1
183,1,1,1
184,1,1,1
135,2,1,2
33,3,1,1
114,2,1,1
36,2,1,1
185,1,1,1
37,2,1,1
38,2,2,1
159,2,1,2
137,6,2,2
186,1,1,1
187,1,1,1
188,1,1,1
189,1,1,1
40,4,2,1
2,25,3,21
106,2,2,2
142,31,4,8
116,4,3,3
190,1,1,1
3,6,2,6
4,6,2,5
82,4,1,3
191,1,1,1
53,16,2,13
54,11,3,7
192,1,1,1
84,5,1,4
193,1,1,1
6,8,3,7
194,1,1,1
138,2,2,2
85,1,1,1
104,2,2,2
67,1,1,1
156,5,2,5
41,1,1,1
195,1,1,1
139,3,2,2
196,1,1,1
43,2,1,1
44,2,1,1
197,1,1,1
157,1,1,1
158,3,1,2
198,1,1,1
140,2,1,2
199,1,1,1
200,1,1,1
201,1,1,1
117,3,1,3
202,1,1,1
203,1,1,1
25,2,2,2
26,2,1,2
96,17,3,17
204,1,1,1
205,1,1,1
46,2,2,1
118,1,1,1
115,2,1,1
18,19,2,10
206,1,1,1
207,1,1,1
83,1,1,1
208,1,1,1
141,2,1,2
209,1,1,1
210,1,1,1
109,2,1,2
211,1,1,1
126,1,1,1
146,4,2,2
212,1,1,1
147,2,1,2
48,2,1,1
88,4,2,4
62,1,1,1
148,2,1,2
149,2,1,2
213,1,1,1
70,4,2,4
76,2,2,2
49,2,1,1
150,2,2,2
214,1,1,1
119,2,2,2
120,6,2,3
50,2,1,1
51,3,1,1
215,1,1,1
216,1,1,1
55,2,1,2
160,1,1,1
56,11,3,10
217,1,1,1
218,1,1,1
219,1,1,1
97,2,1,2
89,1,1,1
86,2,1,2
151,2,1,2
220,1,1,1
221,1,1,1
121,3,2,3
152,3,2,2
222,1,1,1
127,16,4,14
223,1,1,1
45,6,2,6
224,1,1,1
153,2,2,2
80,3,2,3
225,1,1,1
69,5,1,2
73,6,3,5
154,3,1,2
155,2,1,2
226,1,1,1
227,1,1,1
7,1,1,1
228,1,1,1
90,1,1,1
47,7,2,6
229,1,1,1
57,2,1,2
230,1,1,1
231,1,1,1
232,1,1,1
8,1,1,1
34,5,1,5
164,2,1,2
98,2,1,2
136,2,1,1
233,1,1,1
42,2,2,2
234,1,1,1
235,1,1,1
236,1,1,1
165,2,1,2
237,1,1,1
238,1,1,1
239,1,1,1
240,1,1,1
241,1,1,1
242,1,1,1
144,1,1,1
91,2,1,2
243,1,1,1
122,1,1,1
99,1,1,1
13,1,1,1
27,1,1,1
244,1,1,1
166,2,1,2
167,2,1,2
168,3,2,2
245,1,1,1
246,1,1,1
247,1,1,1
92,4,2,4
169,2,2,2
248,1,1,1
87,1,1,1
66,2,1,1
249,1,1,1
161,1,1,1
250,1,1,1
100,1,1,1
251,1,1,1
252,1,1,1
253,1,1,1
254,1,1,1
58,2,1,1
101,2,1,2
95,1,1,1
255,1,1,1
256,1,1,1
257,1,1,1
258,1,1,1
123,2,1,2
125,2,1,1
59,2,1,1
259,1,1,1
28,1,1,1
260,1,1,1
93,4,1,4
261,1,1,1
71,2,1,1
262,1,1,1
263,1,1,1
29,1,1,1
72,2,1,1
170,3,2,2
264,1,1,1
265,1,1,1
266,1,1,1
267,1,1,1
268,1,1,1
269,1,1,1
171,2,2,2
270,1,1,1
60,1,1,1
271,1,1,1
272,1,1,1
273,1,1,1
274,1,1,1
275,1,1,1
35,2,2,2
172,2,2,2
30,1,1,1
276,1,1,1
173,2,1,2
277,1,1,1
278,1,1,1
14,2,1,2
279,1,1,1
280,1,1,1
281,1,1,1
10,1,1,1
103,1,1,1
282,1,1,1
283,1,1,1
75,2,1,1
284,1,1,1
285,1,1,1
11,1,1,1
286,1,1,1
287,1,1,1
288,1,1,1
289,1,1,1
290,1,1,1
291,1,1,1
292,1,1,1
293,1,1,1
294,1,1,1
295,1,1,1
